"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"YEM213","03 February 2016","US drone strike","Rawda city, Shabwa, Yemen","6","6","0","0","0","0","0","0"
"YEM214","03 February 2016","US drone strike","Maraquesha, Abyan, Yemen","3","3","0","0","0","0","0","0"
"AFG163","04 February 2016","US strike","Shiltan, Shegal, Kunar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG162","04 February 2016","US strike","Daman, Marghay, Bermal, Paktika, Afghanistan","15","10","0","0","0","0","0","0"
"AFG164","05 February 2016","US strike","Achin, Nangarhar, Afghanistan","16","16","0","0","0","0","0","0"
"AFG165","08 February 2016","US strike","Bazaar, Achin, Nangarhar, Afghanistan","11","11","0","0","0","0","2","2"
"AFG166","08 February 2016","US strike","Nad Ali and Greshk, Helmand, Afghanistan","15","15","0","0","0","0","10","10"
"AFG167","11 February 2016","US strike","Gomal, Paktika, Afghanistan","18","13","0","0","0","0","0","0"
"YEM215","15 February 2016","Airstrike, Possible US drone strike","Huta, Lahij, Yemen","3","3","0","0","0","0","0","0"
"AFG169","17 February 2016","US strike","Raghi, Gomal, Paktika, Afghanistan","6","6","0","0","0","0","0","0"
"AFG170","18 February 2016","US strike","Raghi, Gomal, PAktika, Afghanistan","6","6","0","0","0","0","0","0"
"AFG172","22 February 2016","US strike","Dand e Ghori, Pul-e-Khumri, Baghlan, Afghanistan","0","0","0","0","0","0","0","0"
"AFG171","22 February 2016","US strike","Pekha Khwar, Achin, Nangarhar, Afghanistan","25","22","0","0","0","0","0","0"
"Ob372","22 February 2016","US drone strike","Shahidano Dhand, Lower Kurram, Pakistan","5","4","0","0","0","0","4","1"
"AFG173","26 February 2016","US strike","Dadul, Gomal, Paktika, Afghanistan","3","3","0","0","0","0","0","0"
"AFG174","28 February 2016","US strike","Mamand Dara and Pekha, Achin, Nangarhar, Afghanistan","9","7","0","0","0","0","0","0"
"YEM216","29 February 2016","US drone or air strike","Hadramout, Yemen","3","3","0","0","0","0","0","0"
"YEM217","04 March 2016","US drone strike","Radhum, Shabwa, Yemen","4","4","0","0","0","0","0","0"
"AFG175","05 March 2016","US strike","Mamond Dara, Achin, Nangarhar, Afghanistan","15","15","0","0","0","0","0","0"
"SOM031","05 March 2016","Air operation - drone or airstrike","Raso Camp, Hiraaan, Somalia","200","150","0","0","0","0","0","0"
"AFG176","21 March 2016","US strike","Khwargai, Kot, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG177","22 March 2016","US strike","Janajal Ghondie, Kot, Nangarhar, Afghanistan","8","2","0","0","0","0","0","0"
"AFG178","22 March 2016","US strike","Bandar, Kot, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"YEM220","26 March 2016","Airstrike, Possible US drone strike","Zinjibar, Abyan, Yemen","6","6","0","0","0","0","0","0"
"YEM219","26 March 2016","Airstrike, Possible US drone strike","Al Hudhn and Naqeel al Hayala villages, Abyan, Yemen","8","8","0","0","0","0","0","0"
"AFG179","26 March 2016","US strike","Achin or Mamand Dara, Nangarhar, Afghanistan","11","11","0","0","0","0","0","0"
"YEM222","30 March 2016","US drone strike","Azzan, Shabwa, Yemen","5","2","0","0","0","0","0","0"
"SOM033","31 March 2016","Air operation - drone strike","Jillib, Middle Juba, Somalia","3","3","0","0","0","0","0","0"
"SOM034","01 April 2016","Air operation - drone strike","Somalia","22","0","0","0","0","0","0","0"
"SOM035","02 April 2016","Air operation - drone strike","Somalia","6","6","0","0","0","0","0","0"
"YEM224","03 April 2016","Airstrike, Possible US drone strike","Mukalla, Hadramout, Yemen","0","0","0","0","0","0","0","0"
"AFG180","05 April 2016","US strike","Kot, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"SOM036","06 April 2016","Air operation - drone strike","Jillib, Middle Juba, Somalia","8","8","0","0","0","0","0","0"
"AFG183","07 April 2016","US strike","Nematabad, Gomal, Paktika, Afghanistan","21","14","0","0","21","14","0","0"
"AFG182","07 April 2016","US strike","Dehrawood, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG181","07 April 2016","US strike","Achin, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"SOM037","11 April 2016","Air operation - drone strike","Lower Juba, Somalia","12","8","0","0","3","3","0","0"
"AFG185","19 April 2016","US strike","Shadal, Achin, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG186","20 April 2016","US strike","Achin, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"YEM226","23 April 2016","US drone strike","Alemien, Mareb, Yemen","2","2","0","0","0","0","0","0"
"YEM227","25 April 2016","US drone strike","Zinjibar, Abyan, Yemen","6","3","0","0","0","0","0","0"
"YEM228","25 April 2016","US drone strike","Azzan, Shabwa, Yemen","10","2","0","0","0","0","0","0"
"AFG187","28 April 2016","US strike","Narai Obam, Haska Mena, Nangarhar, Afghanistan","15","15","0","0","0","0","0","0"
"YEM229","28 April 2016","US drone strike","Shabwa, Yemen","4","4","0","0","0","0","1","1"
"AFG188","30 April 2016","US strike","Chaparhar and Haska Mina, Nangarhar, Afghanistan","38","38","0","0","0","0","0","0"
"AFG189","07 May 2016","US strike","Khanashin, Helmand, Afghanistan","1","0","0","0","0","0","3","2"
"AFG190","09 May 2016","US strike","Nahr Sufi, Chahar Dara, Kunduz, Afghanistan","12","12","0","0","0","0","0","0"
"SOM038","12 May 2016","Air operation - drone strike","Afgoye, Lower Shabelle, Somalia","5","5","0","0","0","0","0","0"
"AFG192","16 May 2016","US strike","Gandeel, Watapor, Kunar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG193","17 May 2016","US strike","Shahjoy, Zabul, Afghanistan","5","5","0","0","0","0","0","0"
"AFG194","18 May 2016","US strike","Mohammd Ghous, Ab Band, Ghazni, Afghanistan","1","1","0","0","0","0","0","0"
"YEM230","19 May 2016","US drone strike","Shabwa, Yemen","4","4","0","0","0","0","0","0"
"Ob373","21 May 2016","US drone strike","Ahmad Wal, Pakistan","2","2","0","0","1","1","0","0"
"AFG195","22 May 2016","US strike","Asqalan, Kunduz city, Kunduz, Afghanistan","13","13","0","0","0","0","0","0"
